method,dataset,precision,recall,map50,map50_95,params_m,gflops,preprocess_ms,inference_ms,postprocess_ms,weights,data_yaml
Original-only YOLOv8s,combined_val,0.9950216986677581,0.9886201941658823,0.9948863203519721,0.9345570752236118,11.126,28.4,0.07461059476003819,0.8084625244787452,2.513704302269559,/Users/gaurav/newdata/runs/yolov8s_original_only/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_exports/newdata_full_realesrgan_x2_stagebsoft_v1_dataset/combined_yolo/dataset.yaml
Original-only YOLOv8s,hrsid_test,0.9896863478690083,0.9881889763779528,0.9947180957925627,0.9346637712512539,11.126,28.4,0.063925012743446,0.751043565164211,2.435981973679064,/Users/gaurav/newdata/runs/yolov8s_original_only/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_generalization/original_only_hrsid_test/dataset.yaml
Original-only YOLOv8s,ssdd_test,0.9948267380137509,0.9886989434063553,0.9945057909888199,0.8944168628113154,11.126,28.4,0.07468091256935676,1.4037527839753747,2.3632580333611997,/Users/gaurav/newdata/runs/yolov8s_original_only/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_generalization/original_only_ssdd_test/dataset.yaml
Stage A SR YOLOv8s,combined_val,0.9923291547048279,0.9928991746046492,0.9948109148419764,0.9411028120627145,11.126,28.4,0.06533329872260864,0.6548448158454282,2.354284928900611,/Users/gaurav/newdata/runs/yolov8s_original_plus_stage_a_sr/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_exports/newdata_full_realesrgan_x2_stagebsoft_v1_dataset/combined_yolo/dataset.yaml
Stage A SR YOLOv8s,hrsid_test,0.9923604224616954,0.9881889763779528,0.9946985940127567,0.9458148810260296,11.126,28.4,0.06352174370297028,0.6801497012137233,2.38401392776605,/Users/gaurav/newdata/runs/yolov8s_original_plus_stage_a_sr/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_generalization/original_only_hrsid_test/dataset.yaml
Stage A SR YOLOv8s,ssdd_test,0.9871682906526118,0.9888438945541002,0.9946652207162515,0.9056580012091068,11.126,28.4,0.07351168136861759,1.0036009048551062,2.3029697865934846,/Users/gaurav/newdata/runs/yolov8s_original_plus_stage_a_sr/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_generalization/original_only_ssdd_test/dataset.yaml
Stage B-soft YOLOv8s direct,combined_val,0.9948756678593257,0.9934200053551776,0.9949301961137006,0.9594456038617654,11.126,28.4,0.0652994905654773,0.6533410794858325,2.2980172320511847,/Users/gaurav/newdata/runs/yolov8s_newdata_full_realesrgan_stage_b_soft/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_exports/newdata_full_realesrgan_x2_stagebsoft_v1_dataset/combined_yolo/dataset.yaml
Stage B-soft YOLOv8s direct,hrsid_test,0.9899465842712876,0.9907172936714702,0.9948280329529713,0.9589900274010639,11.126,28.4,0.06393157705766078,0.6980329159783095,2.338990757372927,/Users/gaurav/newdata/runs/yolov8s_newdata_full_realesrgan_stage_b_soft/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_generalization/original_only_hrsid_test/dataset.yaml
Stage B-soft YOLOv8s direct,ssdd_test,0.9923040626109618,0.9943867512502245,0.9948447468705836,0.9415044993632709,11.126,28.4,0.07359414119907873,0.9951888431572287,2.2616274626434785,/Users/gaurav/newdata/runs/yolov8s_newdata_full_realesrgan_stage_b_soft/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_generalization/original_only_ssdd_test/dataset.yaml
Stage B-soft + curriculum YOLOv8s,combined_val,0.9955432412845195,0.9905911904585664,0.9949145100087046,0.966352260569462,11.126,28.4,0.06882025022806262,0.65993293331753,2.3067227394775407,/Users/gaurav/newdata/runs/yolov8s_newdata_curriculum_stage2_combined/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_exports/newdata_full_realesrgan_x2_stagebsoft_v1_dataset/combined_yolo/dataset.yaml
Stage B-soft + curriculum YOLOv8s,hrsid_test,0.9908070041763025,0.9900909547946608,0.9948314881434522,0.9666033612301641,11.126,28.4,0.07146204982078386,0.7090534028469455,2.356478911624897,/Users/gaurav/newdata/runs/yolov8s_newdata_curriculum_stage2_combined/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_generalization/original_only_hrsid_test/dataset.yaml
Stage B-soft + curriculum YOLOv8s,ssdd_test,0.9897607672515377,0.9939713355957457,0.9948195732097188,0.9541902616766643,11.126,28.4,0.07446668645580105,0.9933561488422195,2.291498503888356,/Users/gaurav/newdata/runs/yolov8s_newdata_curriculum_stage2_combined/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_generalization/original_only_ssdd_test/dataset.yaml
SAR-SmallShip-YOLO-P2 direct,combined_val,0.9928934989728535,0.9936892375916766,0.9948824089735131,0.9589732229863948,10.627,36.6,0.06956769145612814,0.8289542883972436,2.552569944433715,/Users/gaurav/newdata/runs/sar_smallship_yolov8s_p2_combined/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_exports/newdata_full_realesrgan_x2_stagebsoft_v1_dataset/combined_yolo/dataset.yaml
SAR-SmallShip-YOLO-P2 direct,hrsid_test,0.9899450237499738,0.9905619878170233,0.9947630350965811,0.9593140810136729,10.627,36.6,0.0671845108128258,0.8458730511766371,2.5314766863134484,/Users/gaurav/newdata/runs/sar_smallship_yolov8s_p2_combined/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_generalization/original_only_hrsid_test/dataset.yaml
SAR-SmallShip-YOLO-P2 direct,ssdd_test,0.9974280485730255,0.9969414581590671,0.994974293059126,0.9303090579153569,10.627,36.6,0.0717340357144361,1.3238504701976335,2.4449332698923474,/Users/gaurav/newdata/runs/sar_smallship_yolov8s_p2_combined/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_generalization/original_only_ssdd_test/dataset.yaml
SAR-SmallShip-YOLO-P2 curriculum,combined_val,0.9949523956129227,0.9933481152993349,0.9949287140373704,0.9676879404056675,10.627,36.6,0.07225425770609831,0.870476043606609,2.714873316386872,/Users/gaurav/newdata/runs/sar_smallship_yolov8s_p2_curriculum_stage2_combined/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_exports/newdata_full_realesrgan_x2_stagebsoft_v1_dataset/combined_yolo/dataset.yaml
SAR-SmallShip-YOLO-P2 curriculum,hrsid_test,0.9932140247702492,0.989938757655293,0.9947875245612641,0.9682703618688352,10.627,36.6,0.07105640987482668,0.8433958171931611,2.5815747646247837,/Users/gaurav/newdata/runs/sar_smallship_yolov8s_p2_curriculum_stage2_combined/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_generalization/original_only_hrsid_test/dataset.yaml
SAR-SmallShip-YOLO-P2 curriculum,ssdd_test,0.9822246030091993,0.9943525446751549,0.9946395479773885,0.9459887585527648,10.627,36.6,0.07710560670261364,1.1979261927808225,2.4685821618500543,/Users/gaurav/newdata/runs/sar_smallship_yolov8s_p2_curriculum_stage2_combined/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_generalization/original_only_ssdd_test/dataset.yaml
SAR-SmallShip-YOLO-P2ECA curriculum,combined_val,0.9941134298551528,0.9936892375916766,0.9949061750437012,0.9659213142397605,10.627,36.6,0.0678758746127892,0.8061415071146629,2.469131006162816,/Users/gaurav/newdata/runs/sar_smallship_yolov8s_p2eca_curriculum_stage2_combined/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_exports/newdata_full_realesrgan_x2_stagebsoft_v1_dataset/combined_yolo/dataset.yaml
SAR-SmallShip-YOLO-P2ECA curriculum,hrsid_test,0.9926122720468844,0.9873140857392826,0.994778226749038,0.9671044460472589,10.627,36.6,0.06911517291243024,0.8523509925049433,2.544570100266704,/Users/gaurav/newdata/runs/sar_smallship_yolov8s_p2eca_curriculum_stage2_combined/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_generalization/original_only_hrsid_test/dataset.yaml
SAR-SmallShip-YOLO-P2ECA curriculum,ssdd_test,0.9948417437767636,0.9915898181795748,0.9948703286082475,0.950740761739515,10.627,36.6,0.0747908096806,1.2769206323939828,2.441462511669576,/Users/gaurav/newdata/runs/sar_smallship_yolov8s_p2eca_curriculum_stage2_combined/exp/weights/best.pt,/Users/gaurav/newdata/data/detector_yolo_generalization/original_only_ssdd_test/dataset.yaml
